property_key,key,value,status
Gateway Braddon,flight_budget_aud,7500,HARD
Gateway Braddon,flight_start,2026-06-21,HARD
Gateway Braddon,flight_end,2026-07-20,HARD
Gateway Braddon,daily_pace_aud,250,DERIVED
Gateway Braddon,cpl_target_aud,120,HARD
Gateway Braddon,cpl_stretch_aud,84,SOFT
Gateway Braddon,ctr_target,0.015,HARD
Gateway Braddon,cpm_target_aud,10,HARD
Gateway Braddon,cpc_target_aud,0.6,HARD
Gateway Braddon,cost_per_lpv_target_aud,1.1,HARD
Gateway Braddon,monthly_lead_target,55,PENDING
Gateway Braddon,qualified_lead_target,10,PENDING
Gateway Braddon,qualification_rate_target,0.2,PENDING
Northbourne Gateway,flight_budget_aud,205600,HARD
Northbourne Gateway,measurable_budget_aud,188500,DERIVED
Northbourne Gateway,flight_start,2026-08-13,HARD
Northbourne Gateway,flight_end,2026-10-31,HARD
Northbourne Gateway,daily_pace_aud,2356.25,DERIVED
Northbourne Gateway,imp_target,9122334,HARD
Northbourne Gateway,click_target,7374,HARD
Northbourne Gateway,video_view_target,824000,HARD
Northbourne Gateway,reach_target,1158333,DERIVED
Northbourne Gateway,ctr_target,0.0008,HARD
Northbourne Gateway,cpm_target_aud,20.66,DERIVED
Northbourne Gateway,cpc_target_aud,25.56,DERIVED
Northbourne Gateway,cpl_target_aud,,PENDING
Northbourne Gateway,cpl_stretch_aud,,PENDING
Northbourne Gateway,cost_per_lpv_target_aud,,PENDING
Northbourne Gateway,monthly_lead_target,,PENDING
Northbourne Gateway,qualified_lead_target,,PENDING
Northbourne Gateway,qualification_rate_target,0.2,PENDING
