PLATFORM,CAMPAIGN_ID,CAMPAIGN_NAME,PROGRAMME,MARKET,ACCOUNT_NAME
tradedesk,4l7ib47,2265_MONGODB_2026-Q2_IDC_APJ_DEMAND-GENERATION_ANZ,IDC,ANZ,MongoDB
tradedesk,baz7v1b,2265_MONGODB_2026-Q2_IDC_APJ_DEMAND-GENERATION_ASEAN,IDC,ASEAN,MongoDB
tradedesk,wmz7jza,2265_MONGODB_2026-Q2_IDC_APJ_DEMAND-GENERATION_INDIA,IDC,INDIA,MongoDB
tradedesk,37o75q3,2265_MONGODB_2026-Q2_IDC_APJ_DEMAND-GENERATION_KR-HK-TW,IDC,KR-HK-TW,MongoDB
tradedesk,q74u9xp,2265_MONGODB_2026-Q2_IDE_APJ_DEMAND-GENERATION_ANZ,IDE,ANZ,MongoDB
tradedesk,amaf13d,2265_MONGODB_2026-Q2_IDE_APJ_DEMAND-GENERATION_ASEAN,IDE,ASEAN,MongoDB
tradedesk,sf35fze,2265_MONGODB_2026-Q2_IDE_APJ_DEMAND-GENERATION_INDIA,IDE,INDIA,MongoDB
tradedesk,357odo1,2265_MONGODB_2026-Q2_IDE_APJ_DEMAND-GENERATION_KR-HK-TW,IDE,KR-HK-TW,MongoDB
linkedin,1151909984,2265_MONGODB_2026-Q2_IDC_APJ_DEMAND-GENERATION_LINKEDIN,IDC,APJ,"MongoDB, Inc."
linkedin,1159829644,2265_MONGODB_2026-Q3_AWS-IMMERSION-DAY_AU_LEAD-GENERATION_LINKEDIN,AWS-IMMERSION-DAY,AU,"MongoDB, Inc."
