report_month,job_number,publisher,product_type,placement_name,start_date,end_date,impressions,clicks,sends,open_rate,viewability,booked_views,delivered_views
2026-07-01,2609,Capital Brief,content_newsletter,Newsletter integration - 'A message from Schneider Electric',,,158968,172,,54,,,
2026-07-01,2609,Capital Brief,content_web,Partner article views - short & long form,,,29274,63,,,,,
2026-07-01,2609,Capital Brief,adv_newsletter,Newsletter advertising,,,317936,133,,54,,,
2026-07-01,2609,Capital Brief,adv_display,Web display advertising,,,45196,66,,,77,,
2026-08-01,2609,Capital Brief,content_newsletter,Newsletter integration - 'A message from Schneider Electric',,,202844,1831,,56,,,
2026-08-01,2609,Capital Brief,content_web,Partner article views - short & long form,,,72649,52,,,,,
2026-08-01,2609,Capital Brief,adv_newsletter,Newsletter advertising (clicks to se.com),,,580371,1390,,56,,,
2026-08-01,2609,Capital Brief,adv_display,Web display advertising,,,101929,149,,,74,,
2026-07-01,ENGY,Energy Magazine,adv_newsletter,ENGY nl banner Jul 2026,2026-07-07,2026-07-24,14131,76,,,,,
2026-07-01,ENGY,Energy Magazine,adv_newsletter,ENGY nl banner Jul 2026,2026-07-28,2026-07-28,5472,34,,,,,
2026-08-01,ENGY,Energy Magazine,adv_newsletter,ENGY nl banner Aug 2026,2026-08-04,2026-08-26,26907,109,,,,,
2026-07-01,ENGY,Energy Magazine,adv_display,ON-259779 ENGY Web MREC Jul - Sep 2026 [July 2026],,,1973,3,,,,,
2026-08-01,ENGY,Energy Magazine,adv_display,ON-259779 ENGY Web MREC Jul - Sep 2026 [August 2026],,,12127,9,,,,,
2026-08-01,ENGY,Energy Magazine,adv_display,ON-259779 ENGY Webskin Aug 2026 [August 2026],,,2601,17,,,,,
2026-08-01,ENGY,Energy Magazine,adv_display,ON-259779 ENGY Webskin Aug 2026 [August 2026],,,973,1,,,,,
2026-08-01,ENGY,Energy Magazine,adv_display,ON-259779 ENGY Webskin Aug 2026 [August 2026],,,2008,18,,,,,
2026-08-01,ENGY,Energy Magazine,adv_display,ON-259779 ENGY Webskin Aug 2026 [August 2026],,,520,0,,,,,
2026-07-01,ENGY,Energy Magazine,solus_edm,ENGY Solus eDM,2026-07-23,2026-07-23,,64,7443,26.75,,,
2026-08-01,2608,ECD Online (Westwick-Farrow),adv_newsletter,eNews 1 text panel 1,,,55704,45,,29.0,,,
2026-08-01,2608,ECD Online (Westwick-Farrow),adv_newsletter,eNews 1 text panel 2,,,,36,,29.0,,,
2026-08-01,2608,ECD Online (Westwick-Farrow),adv_display,Side Bars Left,,,6657,5,,,,,
2026-08-01,2608,ECD Online (Westwick-Farrow),adv_display,Side Bars Right,,,,3,,,,,
2026-08-01,2608,Sustainability Matters (Westwick-Farrow),adv_display,Side Bars Left,,,7998,7,,,,,
2026-08-01,2608,Sustainability Matters (Westwick-Farrow),adv_display,Side Bars Right,,,,6,,,,,
2026-08-01,2608,ECD Online (Westwick-Farrow),adv_display,Welcome Roadblock,,,6613,80,,,,,
2026-08-01,2608,Sustainability Matters (Westwick-Farrow),adv_display,Premier Tab,,,7951,3,,,,,
2026-08-01,2608,ECD Online (Westwick-Farrow),adv_display,Premier Tab,,,6591,2,,,,,
2026-08-01,2608,ECD Online (Westwick-Farrow),adv_display,Leaderboard Banner x5,,,3837,4,,,,,
2026-08-01,2608,ECD Online (Westwick-Farrow),adv_display,M Leaderboard Banner x5,,,2706,3,,,,,
2026-08-01,2608,Sustainability Matters (Westwick-Farrow),adv_display,MREC Position 1 x5,,,8054,8,,,,,
2026-08-01,2608,ECD Online (Westwick-Farrow),sponsored_article,power-under-pressure-can-your-infrastructure-keep-up--617694274,,,,,,,,1000,1241
2026-08-01,2608,Sustainability Matters (Westwick-Farrow),sponsored_article,the-water-sector-s-biggest-problem-may-not-be-underground-301998802,,,,,,,,1000,1211
2026-08-01,2608,Sustainability Matters (Westwick-Farrow),sponsored_article,how-energy-technology-can-advance-net-zero-journeys-933426641,,,,,,,,1000,1160
2026-08-01,2608,Sustainability Matters (Westwick-Farrow),sponsored_article,from-ac-to-dc-the-next-phase-of-electrification-will-reshape-power-distribution-782681471,,,,,,,,1000,1169
2026-08-01,2608,Sustainability Matters (Westwick-Farrow),sponsored_article,climate-reporting-is-exposing-a-problem-bigger-than-emissions-449420198,,,,,,,,1000,1165
2026-08-01,2608,Sustainability Matters (Westwick-Farrow),sponsored_article,when-sustainability-targets-outpace-building-systems-450681073,,,,,,,,1000,1171
2026-08-01,2608,Sustainability Matters (Westwick-Farrow),sponsored_article,the-energy-advantage-the-next-growth-opportunity-for-australia-and-new-zealand-1278118982,,,,,,,,1000,1207
