companyname,companywebsite,companyemaildomain,linkedincompanypageurl,stocksymbol,industry,city,state,companycountry,zipcode
VIC Health - Monash Health - Monash Medical Centre Clayton,vichealth.vic.gov.au,vichealth.vic.gov.au,,,,,,AU,
Canberra Data Centres Pty Ltd Hume 1 - 3,canberra.com.au,canberra.com.au,,,,,,AU,
Airtrunk Operating Pty Ltd,airtrunk.com,airtrunk.com,,,,,,AU,
Jones Lang Lasalle Australia Pty Ltd - Sydney,joneslanglasalle.com.au,joneslanglasalle.com.au,,,,,,AU,
Anglogold Ashanti Australia Ltd - Perth,anglogoldashanti.com,anglogoldashanti.com,,,,,,AU,
Telstra Corporation Ltd Melbourne,telstra.com.au,telstra.com.au,,,,,,AU,
Woolworths Group Ltd,woolworthsgroup.com.au,woolworthsgroup.com.au,,,,,,AU,
CNW Electrical Byron Bay,cnw.com.au,cnw.com.au,,,,,,AU,
Peninsula Health,peninsulahealth.org.au,peninsulahealth.org.au,,,,,,AU,
Kmart Australia Ltd,kmart.co.nz,kmart.co.nz,,,,,,NZ,
Gold Coast City Council Molendinar,goldcoastcityflorist.com.au,goldcoastcityflorist.com.au,,,,,,AU,
Rio Tinto Group - Headquarters,riotinto.com,riotinto.com,,,,,,AU,
Chevron Australia Pty Ltd Perth,chevron.com,chevron.com,,,,,,AU,
Bendigo Health Care Group,bendigohealth.org.au,bendigohealth.org.au,,,,,,AU,
Hamersley Iron Pty Ltd,hamersleyrovers.com.au,hamersleyrovers.com.au,,,,,,AU,
STACK Infrastructure - Australia,stackinfra.com,stackinfra.com,,,,,,AU,
Hancock Prospecting Pty Ltd - West Perth,hancockprospecting.com.au,hancockprospecting.com.au,,,,,,AU,
Ampol Refineries (NSW) Pty Ltd,ampol.com.au,ampol.com.au,,,,,,AU,
Glencore (Mount Owen Coal Mine),mangoolamine.com.au,mangoolamine.com.au,,,,,,AU,
Wesfarmers Pty Ltd Perth,wesfarmershealth.com.au,wesfarmershealth.com.au,,,,,,AU,
Te Whatu Ora Health New Zealand,waikatodhb.health.nz,waikatodhb.health.nz,,,,,,NZ,
Transport For NSW HQ Chippendale,transport.nsw.gov.au,transport.nsw.gov.au,,,,,,AU,
Vantage Australia (MEL11),vantagemarkets.com,vantagemarkets.com,,,,,,AU,
Viva Energy Australia Ltd Hawthorn,vivaenergyau.com,vivaenergyau.com,,,,,,AU,
Western Power Corporation HQ,westernpower.com.au,westernpower.com.au,,,,,,AU,
Equinix Australia Pty Ltd,equinix.com,equinix.com,,,,,,AU,
DCI Data Centers - Headquarter,dcidatacenters.com,dcidatacenters.com,,,,,,AU,
Amazon Web Services Australia Pty Ltd,amazon.com,amazon.com,,,,,,AU,
NextDC - HQ,nextdc.com,nextdc.com,,,,,,AU,
